query_id,repo_id,owner_repo,audit_type,question,expected_answer,expected_answer_sha256,negative_or_abstain,query_family,source_span_id
v53e_0011,pypa_pip,pypa/pip,doc_code_conflict,"[v53e:11] In pypa/pip, what source fact at pyproject.toml:177 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:177 supports this bounded audit fact: # trim vendored pygments styles, lexers, formatters, and CLI",sha256:3025e24e1174f92f9b1279c6215bcb2e98ce011ea27e9de74399897043d32668,0,doc_code_conflict,v53e_0011_span_001
v53e_0012,pypa_pip,pypa/pip,doc_code_conflict,"[v53e:12] In pypa/pip, what source fact at pyproject.toml:252 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:252 supports this bounded audit fact: ""tests"" = [""tests""]",sha256:08a1ed8d4724d6424674aee64abe91ca63702887f52ec31be378640cc1796af5,0,doc_code_conflict,v53e_0012_span_001
v53e_0013,pypa_pip,pypa/pip,doc_code_conflict,"[v53e:13] In pypa/pip, what source fact at pyproject.toml:288 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:288 supports this bounded audit fact: [[tool.mypy.overrides]],sha256:38ce250d7a15a75358bc3e46d5fcb96e9ea882753e43a9c1b2305ee0b6c11f98,0,doc_code_conflict,v53e_0013_span_001
v53e_0014,pypa_sampleproject,pypa/sampleproject,doc_code_conflict,"[v53e:14] In pypa/sampleproject, what source fact at README.md:24 should be checked before claiming a doc/code conflict?",Evidence at README.md:24 supports this bounded audit fact: [reStructuredText][rst] or [markdown][md use] with the appropriate [key set][md,sha256:1910a60e261e8618c8a8bfd423e4ff374a7a252909a20aa4abff575fb926835e,0,doc_code_conflict,v53e_0014_span_001
v53e_0015,pypa_sampleproject,pypa/sampleproject,doc_code_conflict,"[v53e:15] In pypa/sampleproject, what source fact at pyproject.toml:24 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:24 supports this bounded audit fact: # And where it will live on PyPI: https://pypi.org/project/sampleproject/,sha256:a4cde8cae9eea5c075ca658817eaaf569670d9f1ef719823e8bd8c2eaac77603,0,doc_code_conflict,v53e_0015_span_001
v53e_0016,pypa_sampleproject,pypa/sampleproject,doc_code_conflict,"[v53e:16] In pypa/sampleproject, what source fact at pyproject.toml:141 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:141 supports this bounded audit fact: # issues, where the source is hosted, where to say thanks to the package",sha256:ed7152da4e8b0b132e0311520197f37244a041e250a96eec9d4167eb7d13de5b,0,doc_code_conflict,v53e_0016_span_001
v53e_0017,pytest_dev_pytest,pytest-dev/pytest,doc_code_conflict,"[v53e:17] In pytest-dev/pytest, what source fact at pyproject.toml:420 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:420 supports this bounded audit fact: # https://github.com/pexpect/pexpect/issues/827,sha256:51367533343f18b5f5516ebb79a6908140bbcf7ecedc4cd8cbf77af719c1531e,0,doc_code_conflict,v53e_0017_span_001
v53e_0018,pytest_dev_pytest,pytest-dev/pytest,doc_code_conflict,"[v53e:18] In pytest-dev/pytest, what source fact at pyproject.toml:513 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:513 supports this bounded audit fact: directory = ""feature""",sha256:827c3c31c6fb5bdab8602bdf7763f3a07817473061db4aa60005b658d78a7f1f,0,doc_code_conflict,v53e_0018_span_001
v53e_0019,pytest_dev_pytest,pytest-dev/pytest,doc_code_conflict,"[v53e:19] In pytest-dev/pytest, what source fact at tox.ini:21 should be checked before claiming a doc/code conflict?",Evidence at tox.ini:21 supports this bounded audit fact: # checks that 3.11 native ExceptionGroup works with exceptiongroup,sha256:e12babb1c25b673127ecb30d0d85c6c6c9d68e2e5856cc5457b6f413a70040ab,0,doc_code_conflict,v53e_0019_span_001
v53e_0020,python_cpython,python/cpython,doc_code_conflict,"[v53e:20] In python/cpython, what source fact at Doc/README.rst:116 should be checked before claiming a doc/code conflict?",Evidence at Doc/README.rst:116 supports this bounded audit fact: see the make targets above).,sha256:4d47629fd789f05e928243f8b25ef90ac3d730c6cd19fd05de9a3f6821717ee3,0,doc_code_conflict,v53e_0020_span_001
v53e_0021,python_cpython,python/cpython,doc_code_conflict,"[v53e:21] In python/cpython, what source fact at Doc/README.rst:132 should be checked before claiming a doc/code conflict?",Evidence at Doc/README.rst:132 supports this bounded audit fact: `Python bug tracker <https://github.com/python/cpython/issues>`_.,sha256:3fd9db01efecc4b5cf97d4c9db4626fd94511de7b1e6741ee87a3085b5e80a16,0,doc_code_conflict,v53e_0021_span_001
v53e_0022,tiangolo_typer,tiangolo/typer,doc_code_conflict,"[v53e:22] In tiangolo/typer, what source fact at README.md:68 should be checked before claiming a doc/code conflict?",Evidence at README.md:68 supports this bounded audit fact: def main(name: str):,sha256:88d967add55cae2ed14eb0afb3f2383b907570de10e8090216d886bd32d61df4,0,doc_code_conflict,v53e_0022_span_001
v53e_0023,tiangolo_typer,tiangolo/typer,doc_code_conflict,"[v53e:23] In tiangolo/typer, what source fact at README.md:136 should be checked before claiming a doc/code conflict?",Evidence at README.md:136 supports this bounded audit fact: Now you could run it with Python directly:,sha256:4eac25f84a28cbc59e8476d13ce3a15e8f5369ad3a5f5dea8719e8ec4ece2ade,0,doc_code_conflict,v53e_0023_span_001
v53e_0024,tiangolo_typer,tiangolo/typer,doc_code_conflict,"[v53e:24] In tiangolo/typer, what source fact at pyproject.toml:180 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:180 supports this bounded audit fact: ""docs_src/parameter_types/enum/tutorial003_an_py310.py"" = [""B006""]",sha256:124d33b436587c3c8f8c54c26cf0ac1dad976b0ed63787b6e852177942696355,0,doc_code_conflict,v53e_0024_span_001
v53e_0025,django_django,django/django,doc_code_conflict,"[v53e:25] In django/django, what source fact at README.rst:44 should be checked before claiming a doc/code conflict?","Evidence at README.rst:44 supports this bounded audit fact: ``docs/internals/contributing/writing-code/unit-tests.txt``, published online at",sha256:16e7a51dc048d658cb16f1d289d1895042e01d95bd2bdf946c2b2605d7a6032b,0,doc_code_conflict,v53e_0025_span_001
v53e_0026,django_django,django/django,doc_code_conflict,"[v53e:26] In django/django, what source fact at pyproject.toml:15 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:15 supports this bounded audit fact: {name = ""Django Software Foundation"", email = ""foundation@djangoproject.com""},",sha256:cf0ae0e7e693574f6c571d5345413858012c4a2d2aae2388412f0485f03e9715,0,doc_code_conflict,v53e_0026_span_001
v53e_0027,django_django,django/django,doc_code_conflict,"[v53e:27] In django/django, what source fact at pyproject.toml:45 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:45 supports this bounded audit fact: django-admin = ""django.core.management:execute_from_command_line""",sha256:decb5a16a77cb5f02b5c527c180dddc7c128eef59202104d669845f4aecac749,0,doc_code_conflict,v53e_0027_span_001
v53e_0028,fastapi_fastapi,fastapi/fastapi,doc_code_conflict,"[v53e:28] In fastapi/fastapi, what source fact at pyproject.toml:180 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:180 supports this bounded audit fact: ""pytest-sugar>=1.0.0"",",sha256:ee3ca7676d02cb47de50bc465768251a24695868b9c0742884b062caa5105769,0,doc_code_conflict,v53e_0028_span_001
v53e_0029,fastapi_fastapi,fastapi/fastapi,doc_code_conflict,"[v53e:29] In fastapi/fastapi, what source fact at pyproject.toml:261 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:261 supports this bounded audit fact: [tool.coverage.html],sha256:09837b608dbefb7cd3f2e193d5b4f9863f26c49611128193bf9dac0b4e4422ac,0,doc_code_conflict,v53e_0029_span_001
v53e_0030,pallets_click,pallets/click,doc_code_conflict,"[v53e:30] In pallets/click, what source fact at README.md:8 should be checked before claiming a doc/code conflict?",Evidence at README.md:8 supports this bounded audit fact: sensible defaults out of the box.,sha256:b806660d8fc0a3bdf30567539c3bf93f506f51189184c0af20db230271af8ae2,0,doc_code_conflict,v53e_0030_span_001
v53e_0031,pallets_flask,pallets/flask,doc_code_conflict,"[v53e:31] In pallets/flask, what source fact at README.md:16 should be checked before claiming a doc/code conflict?",Evidence at README.md:16 supports this bounded audit fact: [WSGI]: https://wsgi.readthedocs.io/,sha256:3e8d5e6dce4ee53ad2c7234c4cb9f4d6579d67b5f34005a796141fa31e7657a6,0,doc_code_conflict,v53e_0031_span_001
v53e_0032,pallets_flask,pallets/flask,doc_code_conflict,"[v53e:32] In pallets/flask, what source fact at examples/javascript/pyproject.toml:12 should be checked before claiming a doc/code conflict?","Evidence at examples/javascript/pyproject.toml:12 supports this bounded audit fact: Documentation = ""https://flask.palletsprojects.com/patterns/javascript/""",sha256:9a2d437d5703f2e3880048b1141c1a87226d5cba875613081dc9be3f6534098b,0,doc_code_conflict,v53e_0032_span_001
v53e_0033,psf_requests,psf/requests,doc_code_conflict,"[v53e:33] In psf/requests, what source fact at pyproject.toml:9 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:9 supports this bounded audit fact: license = {text = ""Apache-2.0""}",sha256:3fafbe8f29a015222584573c08b5bea234a58a271847e2a3cb27f26345bbc3e1,0,doc_code_conflict,v53e_0033_span_001
v53e_0034,psf_requests,psf/requests,doc_code_conflict,"[v53e:34] In psf/requests, what source fact at pyproject.toml:108 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:108 supports this bounded audit fact: quote-style = ""double""",sha256:52f8642e3af366152395143f1aebdbe3ba0966cf28e7c8f059ce7caf8849e23b,0,doc_code_conflict,v53e_0034_span_001
v53e_0035,pypa_pip,pypa/pip,doc_code_conflict,"[v53e:35] In pypa/pip, what source fact at pyproject.toml:177 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:177 supports this bounded audit fact: # trim vendored pygments styles, lexers, formatters, and CLI",sha256:3025e24e1174f92f9b1279c6215bcb2e98ce011ea27e9de74399897043d32668,0,doc_code_conflict,v53e_0035_span_001
v53e_0036,pypa_pip,pypa/pip,doc_code_conflict,"[v53e:36] In pypa/pip, what source fact at pyproject.toml:252 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:252 supports this bounded audit fact: ""tests"" = [""tests""]",sha256:08a1ed8d4724d6424674aee64abe91ca63702887f52ec31be378640cc1796af5,0,doc_code_conflict,v53e_0036_span_001
v53e_0037,pypa_pip,pypa/pip,doc_code_conflict,"[v53e:37] In pypa/pip, what source fact at pyproject.toml:288 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:288 supports this bounded audit fact: [[tool.mypy.overrides]],sha256:38ce250d7a15a75358bc3e46d5fcb96e9ea882753e43a9c1b2305ee0b6c11f98,0,doc_code_conflict,v53e_0037_span_001
v53e_0038,pypa_sampleproject,pypa/sampleproject,doc_code_conflict,"[v53e:38] In pypa/sampleproject, what source fact at README.md:24 should be checked before claiming a doc/code conflict?",Evidence at README.md:24 supports this bounded audit fact: [reStructuredText][rst] or [markdown][md use] with the appropriate [key set][md,sha256:1910a60e261e8618c8a8bfd423e4ff374a7a252909a20aa4abff575fb926835e,0,doc_code_conflict,v53e_0038_span_001
v53e_0039,pypa_sampleproject,pypa/sampleproject,doc_code_conflict,"[v53e:39] In pypa/sampleproject, what source fact at pyproject.toml:24 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:24 supports this bounded audit fact: # And where it will live on PyPI: https://pypi.org/project/sampleproject/,sha256:a4cde8cae9eea5c075ca658817eaaf569670d9f1ef719823e8bd8c2eaac77603,0,doc_code_conflict,v53e_0039_span_001
v53e_0040,pypa_sampleproject,pypa/sampleproject,doc_code_conflict,"[v53e:40] In pypa/sampleproject, what source fact at pyproject.toml:141 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:141 supports this bounded audit fact: # issues, where the source is hosted, where to say thanks to the package",sha256:ed7152da4e8b0b132e0311520197f37244a041e250a96eec9d4167eb7d13de5b,0,doc_code_conflict,v53e_0040_span_001
v53e_0041,pytest_dev_pytest,pytest-dev/pytest,doc_code_conflict,"[v53e:41] In pytest-dev/pytest, what source fact at pyproject.toml:420 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:420 supports this bounded audit fact: # https://github.com/pexpect/pexpect/issues/827,sha256:51367533343f18b5f5516ebb79a6908140bbcf7ecedc4cd8cbf77af719c1531e,0,doc_code_conflict,v53e_0041_span_001
v53e_0042,pytest_dev_pytest,pytest-dev/pytest,doc_code_conflict,"[v53e:42] In pytest-dev/pytest, what source fact at pyproject.toml:513 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:513 supports this bounded audit fact: directory = ""feature""",sha256:827c3c31c6fb5bdab8602bdf7763f3a07817473061db4aa60005b658d78a7f1f,0,doc_code_conflict,v53e_0042_span_001
v53e_0043,pytest_dev_pytest,pytest-dev/pytest,doc_code_conflict,"[v53e:43] In pytest-dev/pytest, what source fact at tox.ini:21 should be checked before claiming a doc/code conflict?",Evidence at tox.ini:21 supports this bounded audit fact: # checks that 3.11 native ExceptionGroup works with exceptiongroup,sha256:e12babb1c25b673127ecb30d0d85c6c6c9d68e2e5856cc5457b6f413a70040ab,0,doc_code_conflict,v53e_0043_span_001
v53e_0044,python_cpython,python/cpython,doc_code_conflict,"[v53e:44] In python/cpython, what source fact at Doc/README.rst:116 should be checked before claiming a doc/code conflict?",Evidence at Doc/README.rst:116 supports this bounded audit fact: see the make targets above).,sha256:4d47629fd789f05e928243f8b25ef90ac3d730c6cd19fd05de9a3f6821717ee3,0,doc_code_conflict,v53e_0044_span_001
v53e_0045,python_cpython,python/cpython,doc_code_conflict,"[v53e:45] In python/cpython, what source fact at Doc/README.rst:132 should be checked before claiming a doc/code conflict?",Evidence at Doc/README.rst:132 supports this bounded audit fact: `Python bug tracker <https://github.com/python/cpython/issues>`_.,sha256:3fd9db01efecc4b5cf97d4c9db4626fd94511de7b1e6741ee87a3085b5e80a16,0,doc_code_conflict,v53e_0045_span_001
v53e_0046,tiangolo_typer,tiangolo/typer,doc_code_conflict,"[v53e:46] In tiangolo/typer, what source fact at README.md:68 should be checked before claiming a doc/code conflict?",Evidence at README.md:68 supports this bounded audit fact: def main(name: str):,sha256:88d967add55cae2ed14eb0afb3f2383b907570de10e8090216d886bd32d61df4,0,doc_code_conflict,v53e_0046_span_001
v53e_0047,tiangolo_typer,tiangolo/typer,doc_code_conflict,"[v53e:47] In tiangolo/typer, what source fact at README.md:136 should be checked before claiming a doc/code conflict?",Evidence at README.md:136 supports this bounded audit fact: Now you could run it with Python directly:,sha256:4eac25f84a28cbc59e8476d13ce3a15e8f5369ad3a5f5dea8719e8ec4ece2ade,0,doc_code_conflict,v53e_0047_span_001
v53e_0048,tiangolo_typer,tiangolo/typer,doc_code_conflict,"[v53e:48] In tiangolo/typer, what source fact at pyproject.toml:180 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:180 supports this bounded audit fact: ""docs_src/parameter_types/enum/tutorial003_an_py310.py"" = [""B006""]",sha256:124d33b436587c3c8f8c54c26cf0ac1dad976b0ed63787b6e852177942696355,0,doc_code_conflict,v53e_0048_span_001
v53e_0049,django_django,django/django,doc_code_conflict,"[v53e:49] In django/django, what source fact at README.rst:44 should be checked before claiming a doc/code conflict?","Evidence at README.rst:44 supports this bounded audit fact: ``docs/internals/contributing/writing-code/unit-tests.txt``, published online at",sha256:16e7a51dc048d658cb16f1d289d1895042e01d95bd2bdf946c2b2605d7a6032b,0,doc_code_conflict,v53e_0049_span_001
v53e_0050,django_django,django/django,doc_code_conflict,"[v53e:50] In django/django, what source fact at pyproject.toml:15 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:15 supports this bounded audit fact: {name = ""Django Software Foundation"", email = ""foundation@djangoproject.com""},",sha256:cf0ae0e7e693574f6c571d5345413858012c4a2d2aae2388412f0485f03e9715,0,doc_code_conflict,v53e_0050_span_001
v53e_0051,django_django,django/django,doc_code_conflict,"[v53e:51] In django/django, what source fact at pyproject.toml:45 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:45 supports this bounded audit fact: django-admin = ""django.core.management:execute_from_command_line""",sha256:decb5a16a77cb5f02b5c527c180dddc7c128eef59202104d669845f4aecac749,0,doc_code_conflict,v53e_0051_span_001
v53e_0052,fastapi_fastapi,fastapi/fastapi,doc_code_conflict,"[v53e:52] In fastapi/fastapi, what source fact at pyproject.toml:180 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:180 supports this bounded audit fact: ""pytest-sugar>=1.0.0"",",sha256:ee3ca7676d02cb47de50bc465768251a24695868b9c0742884b062caa5105769,0,doc_code_conflict,v53e_0052_span_001
v53e_0053,fastapi_fastapi,fastapi/fastapi,doc_code_conflict,"[v53e:53] In fastapi/fastapi, what source fact at pyproject.toml:261 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:261 supports this bounded audit fact: [tool.coverage.html],sha256:09837b608dbefb7cd3f2e193d5b4f9863f26c49611128193bf9dac0b4e4422ac,0,doc_code_conflict,v53e_0053_span_001
v53e_0054,pallets_click,pallets/click,doc_code_conflict,"[v53e:54] In pallets/click, what source fact at README.md:8 should be checked before claiming a doc/code conflict?",Evidence at README.md:8 supports this bounded audit fact: sensible defaults out of the box.,sha256:b806660d8fc0a3bdf30567539c3bf93f506f51189184c0af20db230271af8ae2,0,doc_code_conflict,v53e_0054_span_001
v53e_0055,pallets_flask,pallets/flask,doc_code_conflict,"[v53e:55] In pallets/flask, what source fact at README.md:16 should be checked before claiming a doc/code conflict?",Evidence at README.md:16 supports this bounded audit fact: [WSGI]: https://wsgi.readthedocs.io/,sha256:3e8d5e6dce4ee53ad2c7234c4cb9f4d6579d67b5f34005a796141fa31e7657a6,0,doc_code_conflict,v53e_0055_span_001
v53e_0056,pallets_flask,pallets/flask,doc_code_conflict,"[v53e:56] In pallets/flask, what source fact at examples/javascript/pyproject.toml:12 should be checked before claiming a doc/code conflict?","Evidence at examples/javascript/pyproject.toml:12 supports this bounded audit fact: Documentation = ""https://flask.palletsprojects.com/patterns/javascript/""",sha256:9a2d437d5703f2e3880048b1141c1a87226d5cba875613081dc9be3f6534098b,0,doc_code_conflict,v53e_0056_span_001
v53e_0057,psf_requests,psf/requests,doc_code_conflict,"[v53e:57] In psf/requests, what source fact at pyproject.toml:9 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:9 supports this bounded audit fact: license = {text = ""Apache-2.0""}",sha256:3fafbe8f29a015222584573c08b5bea234a58a271847e2a3cb27f26345bbc3e1,0,doc_code_conflict,v53e_0057_span_001
v53e_0058,psf_requests,psf/requests,doc_code_conflict,"[v53e:58] In psf/requests, what source fact at pyproject.toml:108 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:108 supports this bounded audit fact: quote-style = ""double""",sha256:52f8642e3af366152395143f1aebdbe3ba0966cf28e7c8f059ce7caf8849e23b,0,doc_code_conflict,v53e_0058_span_001
v53e_0059,pypa_pip,pypa/pip,doc_code_conflict,"[v53e:59] In pypa/pip, what source fact at pyproject.toml:177 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:177 supports this bounded audit fact: # trim vendored pygments styles, lexers, formatters, and CLI",sha256:3025e24e1174f92f9b1279c6215bcb2e98ce011ea27e9de74399897043d32668,0,doc_code_conflict,v53e_0059_span_001
v53e_0060,pypa_pip,pypa/pip,doc_code_conflict,"[v53e:60] In pypa/pip, what source fact at pyproject.toml:252 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:252 supports this bounded audit fact: ""tests"" = [""tests""]",sha256:08a1ed8d4724d6424674aee64abe91ca63702887f52ec31be378640cc1796af5,0,doc_code_conflict,v53e_0060_span_001
v53e_0061,pypa_pip,pypa/pip,doc_code_conflict,"[v53e:61] In pypa/pip, what source fact at pyproject.toml:288 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:288 supports this bounded audit fact: [[tool.mypy.overrides]],sha256:38ce250d7a15a75358bc3e46d5fcb96e9ea882753e43a9c1b2305ee0b6c11f98,0,doc_code_conflict,v53e_0061_span_001
v53e_0062,pypa_sampleproject,pypa/sampleproject,doc_code_conflict,"[v53e:62] In pypa/sampleproject, what source fact at README.md:24 should be checked before claiming a doc/code conflict?",Evidence at README.md:24 supports this bounded audit fact: [reStructuredText][rst] or [markdown][md use] with the appropriate [key set][md,sha256:1910a60e261e8618c8a8bfd423e4ff374a7a252909a20aa4abff575fb926835e,0,doc_code_conflict,v53e_0062_span_001
v53e_0063,pypa_sampleproject,pypa/sampleproject,doc_code_conflict,"[v53e:63] In pypa/sampleproject, what source fact at pyproject.toml:24 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:24 supports this bounded audit fact: # And where it will live on PyPI: https://pypi.org/project/sampleproject/,sha256:a4cde8cae9eea5c075ca658817eaaf569670d9f1ef719823e8bd8c2eaac77603,0,doc_code_conflict,v53e_0063_span_001
v53e_0064,pypa_sampleproject,pypa/sampleproject,doc_code_conflict,"[v53e:64] In pypa/sampleproject, what source fact at pyproject.toml:141 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:141 supports this bounded audit fact: # issues, where the source is hosted, where to say thanks to the package",sha256:ed7152da4e8b0b132e0311520197f37244a041e250a96eec9d4167eb7d13de5b,0,doc_code_conflict,v53e_0064_span_001
v53e_0065,pytest_dev_pytest,pytest-dev/pytest,doc_code_conflict,"[v53e:65] In pytest-dev/pytest, what source fact at pyproject.toml:420 should be checked before claiming a doc/code conflict?",Evidence at pyproject.toml:420 supports this bounded audit fact: # https://github.com/pexpect/pexpect/issues/827,sha256:51367533343f18b5f5516ebb79a6908140bbcf7ecedc4cd8cbf77af719c1531e,0,doc_code_conflict,v53e_0065_span_001
v53e_0066,pytest_dev_pytest,pytest-dev/pytest,doc_code_conflict,"[v53e:66] In pytest-dev/pytest, what source fact at pyproject.toml:513 should be checked before claiming a doc/code conflict?","Evidence at pyproject.toml:513 supports this bounded audit fact: directory = ""feature""",sha256:827c3c31c6fb5bdab8602bdf7763f3a07817473061db4aa60005b658d78a7f1f,0,doc_code_conflict,v53e_0066_span_001
v53e_0067,pytest_dev_pytest,pytest-dev/pytest,doc_code_conflict,"[v53e:67] In pytest-dev/pytest, what source fact at tox.ini:21 should be checked before claiming a doc/code conflict?",Evidence at tox.ini:21 supports this bounded audit fact: # checks that 3.11 native ExceptionGroup works with exceptiongroup,sha256:e12babb1c25b673127ecb30d0d85c6c6c9d68e2e5856cc5457b6f413a70040ab,0,doc_code_conflict,v53e_0067_span_001
v53e_0068,python_cpython,python/cpython,doc_code_conflict,"[v53e:68] In python/cpython, what source fact at Doc/README.rst:116 should be checked before claiming a doc/code conflict?",Evidence at Doc/README.rst:116 supports this bounded audit fact: see the make targets above).,sha256:4d47629fd789f05e928243f8b25ef90ac3d730c6cd19fd05de9a3f6821717ee3,0,doc_code_conflict,v53e_0068_span_001
v53e_0069,python_cpython,python/cpython,doc_code_conflict,"[v53e:69] In python/cpython, what source fact at Doc/README.rst:132 should be checked before claiming a doc/code conflict?",Evidence at Doc/README.rst:132 supports this bounded audit fact: `Python bug tracker <https://github.com/python/cpython/issues>`_.,sha256:3fd9db01efecc4b5cf97d4c9db4626fd94511de7b1e6741ee87a3085b5e80a16,0,doc_code_conflict,v53e_0069_span_001
v53e_0070,tiangolo_typer,tiangolo/typer,doc_code_conflict,"[v53e:70] In tiangolo/typer, what source fact at README.md:68 should be checked before claiming a doc/code conflict?",Evidence at README.md:68 supports this bounded audit fact: def main(name: str):,sha256:88d967add55cae2ed14eb0afb3f2383b907570de10e8090216d886bd32d61df4,0,doc_code_conflict,v53e_0070_span_001
v53e_0071,tiangolo_typer,tiangolo/typer,doc_code_conflict,"[v53e:71] In tiangolo/typer, what source fact at README.md:136 should be checked before claiming a doc/code conflict?",Evidence at README.md:136 supports this bounded audit fact: Now you could run it with Python directly:,sha256:4eac25f84a28cbc59e8476d13ce3a15e8f5369ad3a5f5dea8719e8ec4ece2ade,0,doc_code_conflict,v53e_0071_span_001
